name,ring,quadrant,isNew,description
Micro Frontends,assess,techniques,TRUE,"<p><b>Microservices architectures</b> has many benefits, which have allowed teams to scale the delivery of independently deployed and maintained services. Unfortunately, we've also seen many teams create front-end monoliths — a single, large and sprawling browser application — on top of their back-end services. In this approach, the web application is broken down into its features, and each feature is owned, frontend to backend, by a different team. This ensures that every feature is developed, tested and deployed independently from other features. Multiple techniques exist to recombine the features — sometimes as pages, sometimes as components — into a cohesive user experience. <strong><a href=""https://www.mosaic9.org/"">Zalando</a></strong>uses this technique as Project Mosaic</p>"
Serverless Framework,assess,techniques,TRUE,"<p>The popular <strong><a href=""https://serverless.com/"">Serverless Framework</a></strong> provides tooling for scaffolding and deployment of serverless applications, primarily using <strong><a href=""https://aws.amazon.com/tr/lambda/"">AWS Lambda</a></strong> and other AWS offerings. Serverless Framework provides template support for JavaScript, Python, Java and C#, and has an active community that contributes plugins that extend the framework. The framework also supports the Apache incubator project OpenWhisk as an alternative to AWS Lambda.</p>"
DataOps,assess,techniques,TRUE,"<p><strong><a href=""https://www.datascience.com/resources/white-papers/dataops-with-mapr"">DataOps</a></strong>, or data operations, is the latest agile operations methodology to spring from the collective consciousness of IT and big data professionals. It focuses on cultivating data management practices and processes that improve the speed and accuracy of analytics, including data access, quality control, automation, integration, and, ultimately, model deployment and management.
At its core, DataOps is about aligning the way you manage your data with the goals you have for that data. If you want to, say, reduce your customer churn rate, you could leverage your customer data to build a recommendation engine that surfaces products that are relevant to your customers  — which would keep them buying longer. But that’s only possible if your data science team has access to the data they need to build that system and the tools to deploy it, and can integrate it with your website, continually feed it new data, monitor performance, etc., an ongoing process that will likely include input from your engineering, IT, and business teams.  </p>"
ChatOps,assess,techniques,TRUE,"<p><b>ChatOps</b> is the use of chat clients, chatbots and real-time communication tools to facilitate how software development and operation tasks are communicated and executed.
In a ChatOps environment, the chat client serves as the primary communication channel for ongoing work. Tools that developers and operations managers already use are integrated into a collaborative communication environment to improve ticket tracking and automated incident response. ChatOps is sometimes referred to as conversation-driven collaboration or conversation-driven DevOps.</p>"
AIOps,assess,techniques,TRUE,"<p>Artificial intelligence for IT operations (AIOps) is an umbrella term for the use of <b>big data analytics</b>, <b>machine learning (ML)</b> and other <b>artificial intelligence (AI)</b> technologies to automate the identification and resolution of common information technology (IT) issues. The systems, services and applications in a large enterprise produce immense volumes of log and performance data. AIOps uses this data to monitor assets and gain visibility into dependencies without and outside of IT systems</p>"
CQRS,assess,techniques,TRUE,"<p><strong><a href=""https://martinfowler.com/bliki/CQRS.html"">Command Query Responsibility Segregation</a></strong>, comes from CQS (Command Query Separation) introduced by Bertrand Meyer in Object Oriented Software Construction. Meyer states that every method should be either a query or a command. This technique Supports multiple denormalized views that are scalable and performant, improved separation of concerns = simpler command and query models and Necessary in an event sourced architecture</p>"
Low Code Platforms,hold,techniques,TRUE,"<p>Low-code platforms use graphical user interfaces and configuration in order to create applications. Unfortunately, low-code environments are promoted with the idea that this means you no longer need skilled development teams. Such suggestions ignore the fact that writing code is just a small part of what needs to happen to create high-quality software—practices such as source control, testing and careful design of solutions are just as important. Although these platforms have their uses, we suggest approaching them with caution, especially when they come with extravagant claims for lower cost and higher productivity.</p>"
Model Driven Development,hold,techniques,TRUE,<p>Model-driven development (MDD) leverages graphical models and pre-built application components so that users can visually construct complex applications. Interest in model-driven development continues to increase as individuals experience the ease and speed with which technical and business users orchestrate and deploy business applications. There are two core concepts associated with model-driven development: abstraction and automation. The software application model is defined on a higher abstraction level and then converted into a working application using automated transformation or interpretations. </p>
Azure Devops,adopt,platforms,TRUE,"<p><strong><a href=""https://azure.microsoft.com/en-us/services/devops/"">Azure DevOps</a></strong> services include a set of managed services such as hosted Git repos, CI/CD pipelines and artifact repository. Azure DevOps services have replaced <strong><a href=""https://docs.microsoft.com/tr-tr/azure/devops/user-guide/what-is-azure-devops?view=azure-devops&viewFallbackFrom=vsts#vsts"">Visual Studio Team Services</a></strong>. We're hoping that Azure DevOps services improve over time to provide a good developer experience when hosting applications on Azure, with a frictionless experience integrating with other Azure services.</p>"
Azure Kubernetes Service,adopt,platforms,TRUE,"<p><strong><a href=""https://azure.microsoft.com/en-us/services/kubernetes-service/"">Azure Kubernetes Service (AKS)</a></strong> is the quickest way to use Kubernetes on Azure. Azure Kubernetes Service (AKS) manages your hosted Kubernetes environment, making it quick and easy to deploy and manage containerized applications without container orchestration expertise. It also eliminates the burden of ongoing operations and maintenance by provisioning, upgrading, and scaling resources on demand, without taking your applications offline. <strong><a href=""https://azure.microsoft.com/en-us/services/devops/"">Azure DevOps</a></strong> helps in creating Docker images for faster deployments and reliability using the continuous build option.
One of the biggest advantage to use AKS is that instead of creating resources in cloud you can create resources and infrastructure inside Azure Kubernetes Cluster through Deployments and Services manifest files.</p>"
Neo4j,adopt,platforms,TRUE,"<p><strong><a href=""https://neo4j.com/"">Neo4j</a></strong> is a high performance graph store with all the features expected of a mature and robust database, like a friendly query language and <strong><a href=""https://www.geeksforgeeks.org/acid-properties-in-dbms/"">ACID</a></strong> transactions. The programmer works with a flexible network structure of nodes and relationships rather than static tables — yet enjoys all the benefits of enterprise-quality database. For many applications, Neo4j offers orders of magnitude performance benefits compared to relational DBs. We used this platform in KocHub project</p>"
Redis,adopt,platforms,TRUE,"<p>In-memory data structure store, used as a database, cache and message broker. It supports data structures such as strings, hashes, lists, sets, sorted sets with range queries, bitmaps, hyperloglogs, geospatial indexes with radius queries and streams. We used as structured cache in out projects</p>"
RabbitMQ,adopt,platforms,TRUE,"<p>RabbitMQ is one of the most popular open source message brokers. It supports <strong><a href=""https://www.amqp.org/"">Amqp</a></strong> for messaging protocols</p>"
MongoDB,adopt,platforms,TRUE,"<p>For problems that fit the document database model, MongoDB is now the most popular choice. In addition to ease of use and a solid technical implementation, the community and ecosystem contributed to this success. We are aware of problems where teams were tempted by the popularity of MongoDB when a document database was not a good fit or they did not understand the inherent complexity. When used appropriately, however, MongoDB has proven itself on many projects.</p>"
PostgreSQL,adopt,platforms,TRUE,"<p>PostgreSQL is a powerful, open source object-relational database system with over 30 years of active development that has earned it a strong reputation for reliability, feature robustness, and performance.PostgreSQL is free and open source software. Its source code is available under PostgreSQL license, a liberal open source license. You are free to use, modify and distribute PostgreSQL in any form.</p>"
Istio,trial,platforms,TRUE,"<p>When building and operating a microservices ecosystem, one of the early questions to answer is how to implement cross-cutting concerns such as service discovery, service-to-service and origin-to-service security, observability (including telemetry and distributed tracing), rolling releases and resiliency. Over the last couple of years, our default answer to this question has been using a <strong><a href=""https://www.nginx.com/blog/what-is-a-service-mesh/"">service mesh</a></strong> technique. A service mesh offers the implementation of these cross-cutting capabilities as an infrastructure layer that is configured as code. The policy configurations can be consistently applied to the whole ecosystem of microservices; enforced on both in and out of mesh traffic (via the mesh proxy as a gateway) as well as on the traffic at each service (via the same mesh proxy as a sidecar container). While we're keeping a close eye on the progress of different open source service mesh projects such as <strong><a href=""https://linkerd.io/"">Linkerd</a></strong>, we've successfully used <strong><a href=""https://istio.io/"">Istio</a></strong> in production with a surprisingly easy-to-configure operating model.</p>"
Azure Web Apps,trial,platforms,TRUE,"<p>Azure App Service enables you to build and host web apps, mobile back ends, and RESTful APIs in the programming language of your choice without managing infrastructure. It offers auto-scaling and high availability, supports both Windows and Linux, and enables automated deployments from GitHub, Azure DevOps, or any Git repo. Learn how to use Azure App Service with our quickstarts, tutorials, and samples.</p>"
AWS EC2,trial,platforms,TRUE,"<p>An EC2 instance is nothing but a virtual server in Amazon Web services terminology. It stands for <strong><a href=""https://aws.amazon.com/ec2/"">Elastic Compute Cloud</a></strong>. It is a web service where an AWS subscriber can request and provision a compute server in AWS cloud.
An on-demand EC2 instance is an offering from AWS where the subscriber/user can rent the virtual server per hour and use it to deploy his/her own applications.
The instance will be charged per hour with different rates based on the type of the instance chosen. AWS provides multiple instance types for the respective business needs of the user.</p>"
AWS S3,trial,platforms,TRUE,"<p>Amazon S3 is an <strong><a href=""https://aws.amazon.com/what-is-cloud-object-storage/"">object storage service</a></strong>, which differs from block and file cloud storage. Each object is stored as a file with its metadata included and is given an ID number. Applications use this ID number to access an object. Unlike file and block cloud storage, a developer can access an object via a REST API.</p>"
GKE,assess,platforms,TRUE,"<p>GKE (Google Kubernetes Engine) is a managed Kubernetes solution for deploying containerized applications that alleviates the operational overhead of running and maintaining <strong><a href=""https://kubernetes.io/"">Kubernetes </a></strong>clusters. It's important to consider that GKE is under rapid development with many of its APIs in beta release which, despite the developers' best efforts to abstract consumers from underlying changes, can impact you.</p>"
IBM Cloud Kubernetes Service,assess,platforms,TRUE,"<p>IBM Cloud Kubernetes Service is a managed Kubernetes offering to create your own Kubernetes cluster of compute hosts to deploy and manage containerized apps on IBM Cloud.IBM Cloud Kubernetes Service provides intelligent scheduling, self-healing, horizontal scaling, service discovery and load balancing, automated rollouts and rollbacks, and secret and configuration management for your apps. Combined with an intuitive user experience, built-in security and isolation, and advanced tools to secure, manage, and monitor your cluster workloads, you can rapidly deliver highly available and secure containerized apps in the public cloud.</p>"
AWS Lambda,assess,platforms,TRUE,"<p>AWS Lambda is a <strong><a href=''https://www.thoughtworks.com/radar/techniques/serverless-architecture'>serverless compute service</a></strong> that runs your code in response to events and automatically manages the underlying compute resources for you. You can use AWS Lambda to extend other AWS services with custom logic, or create your own back-end services that operate at AWS scale, performance, and security. AWS Lambda can automatically run code in response to multiple events, such as HTTP requests via <strong><a href=""https://www.thoughtworks.com/radar/platforms/amazon-api-gateway"">Amazon API Gateway</a></strong>, modifications to objects in Amazon S3 buckets, table updates in Amazon DynamoDB, and state transitions in AWS Step Functions.</p>"
Amazon EKS,assess,platforms,TRUE,"<p>Amazon EKS (Elastic Container Service for Kubernetes) is a managed Kubernetes service that allows you to run Kubernetes on AWS without the hassle of managing the <strong><a href=""https://kubernetes.io/docs/concepts/#kubernetes-control-plane"">Kubernetes control plane</a></strong>.The big benefit of EKS, and other similar hosted Kubernetes services, is taking away the operational burden involved in running this control plane. You deploy cluster worker nodes using defined AMIs and with the help of CloudFormation, and EKS will provision, scale and manage the Kubernetes control plane for you to ensure high availability, security and scalability.</p>"
Azure LogicApps,assess,platforms,TRUE,"<p>Azure Logic Apps simplifies how you build automated scalable workflows that integrate apps and data across cloud services and on-premises systems. Learn how to create, design, and deploy logic apps that automate business processes with our quickstarts, tutorials, templates, and APIs. Azure LogicApps and ‘Functions’ are the backbone of serverless architecture in Azure. They both allow developers to quickly create and deploy code to the cloud that needs to be scalable, lightweight and fast. </p>"
Knative,assess,platforms,TRUE,"<p>The <a href=""/radar/techniques/serverless-architecture"">serverless architecture</a> has popularized a FaaS style of programming among developers; it helps developers focus on solving core business problems with independently built and deployed functions that react to an event, run a business process, produce other events in the process and scale down to zero. Historically, proprietary serverless platforms such as <a href=""/radar/platforms/aws-lambda"">AWS Lambda</a> or Microsoft <a href=""https://azure.microsoft.com/en-us/services/functions/"">Azure Functions</a> have enabled this programming paradigm. <strong><a href=""https://www.knative.dev/"">Knative</a></strong> is an open-source Kubernetes-based platform to run FaaS workloads. There are few things that stand out about Knative: it's open source and provider agnostic; it implements the serverless workflow as described in the CNCF Serverless Working Group <a href=""https://github.com/cncf/wg-serverless/tree/master/whitepapers/serverless-overview"">whitepaper</a>; it ensures cross-service interoperability by implementing its eventing interface consistent with <a href=""https://github.com/cloudevents/spec/blob/master/spec.md#design-goals"">CNCF CloudEvents</a> specification; and, most importantly, it addresses a common challenge of operating a harmonized and yet hybrid FaaS and long-running container-based architecture. It easily integrates with both <a href=""/radar/platforms/istio"">Istio</a> and <a href=""/radar/platforms/kubernetes"">Kubernetes</a>. For example, developers can take advantage of roll-out strategies that Istio implements by traffic splitting between different revisions of the functions. Developers can take benefit of Istio-provided observability not only for long-running container services but also for FaaS programs in the same Kubernetes environment. We anticipate that Knative open-source eventing interface will continue to enable new underlying source and destination event integrations.</p>"
Kafka Streams,assess,platforms,TRUE,"<p><strong><a href=""https://kafka.apache.org/documentation/streams/"">Kafka Streams</a></strong> is a lightweight library to build streaming applications. It supports basic streaming APIs such as join, filter, map and aggregate as well as local storage for common use cases such as windowing and sessions. Unlike other stream-processing platforms such as <a href=""/radar/platforms/apache-spark"">Apache Spark</a> and <a href=""https://doc.akka.io/docs/akka-stream-kafka/current/home.html"">Alpakka Kafka</a>, Kafka Streams has been a good fit for scenarios that don't require large-scale distribution and parallel processing; hence we could get away without yet another piece of infrastructure such as cluster schedulers. Naturally, Kafka Streams has been a good choice when operating in the Kafka ecosystem. Kafka Streams is particularly useful when we have to process data strictly in order and exactly once. One particular use case of Kafka Streams is to build a <a href=""https://en.wikipedia.org/wiki/Change_data_capture#Event_Programming"">change data capture (CDC)</a> platform.</p>"
OpenAPM,assess,platforms,TRUE,"<p>One of the challenges in adopting an open-source alternative to popular commercial packages is sorting through the complicated landscape of projects to understand which components you need, which ones play nicely together and exactly which part of a total solution each component covers. This is particularly difficult in the world of observability, where the standard practice is to purchase one comprehensive but pricey package to do it all. OpenAPM makes the open-source selection process for observability tools easier. It displays the current crop of open-source packages classified by component roles, so you can interactively select compatible components. As long as you keep the tool up to date, it should help you navigate through the confusing array of possible tools.</p>"
OpenShift,assess,platforms,TRUE,"<p>OpenShift is a family of containerization software developed by Red Hat. Its flagship product is the OpenShift Container Platform—an on-premises platform as a service built around Docker containers orchestrated and managed by Kubernetes on a foundation of Red Hat Enterprise Linux. The family's other products provide this platform through different environments: OKD serves as the community-driven upstream (akin to CentOS), OpenShift Online is the platform offered as software as a service, and Openshift Dedicated is the platform offered as a managed service.</p>"
Vagrant,assess,platforms,TRUE,"<p>The tool <strong><a href=""https://www.vagrantup.com/"">Vagrant</a></strong> makes it simple for teams to distribute virtualized development environments constructed using version-control friendly descriptors. Vagrant helps eliminate environmental differences in development and reduce troubleshooting waste.</p>"
Packer,assess,platforms,TRUE,"<p>The thing holding this technique back was the difficulty in building images, especially when targeting more than one platform. <strong><a href=""https://www.packer.io/"">Packer</a></strong> solves this, using your configuration management tool of choice to create images for a number of platforms including AWS, Rackspace, DigitalOcean and even Docker and Vagrant, although we have found the VMWare support to be problematic.</p>"
Gatling,adopt,tools,TRUE,"<p>Gatling is another newer player in the automated performance testing space. It is similar to Locust and is much lighter weight than the older options such as JMeter and Grinder. Built on Scala, the DSL provides extensive functionality out of the box including easily configured data feeds and response assertions. In cases where customization is needed, it is easy to drop into Scala to provide extensions. The default generation of numerous dynamic views of the data via Highcharts adds to its appeal.</p>"
OWASP ZAP,adopt,tools,TRUE,<p>The OWASP Zed Attack Proxy (ZAP) is one of the world’s most popular free security tools and is actively maintained by hundreds of international volunteers*. It can help you automatically find security vulnerabilities in your web applications while you are developing and testing your applications. Its also a great tool for experienced pentesters to use for manual security testing</p>
Apache JMeter,adopt,tools,TRUE,"<p>Apache JMeter may be used to test performance both on static and dynamic resources, Web dynamic applications. It can be used to simulate a heavy load on a server, group of servers, network or object to test its strength or to analyze overall performance under different load types.</p>"
SonarQube,adopt,tools,TRUE,"<p>Measuring software internal quality is still a mystery, even though many source code metrics have been around for years. The problem with those metrics is they usually only capture one aspect of quality. We must consult many metrics to come to a conclusion about the overall quality of our code. Sonar is an integrated tool for checking, tracking and visualizing those metrics. It not only combines metrics together, but also mixes them with historical measures, giving us a better insight into the internal quality of the codebase.</p>"
Microfocus Mobile Center,adopt,tools,TRUE,"<p><strong><a href=""https://www.microfocus.com/en-us/products/mobile-testing/overview"">Micro Focus Mobile Center</a></strong> software is a mobile testing and monitoring solution enabling you to test and monitor any mobile app or mobile web page on real devices or emulators, across real-world network conditions, and release apps that delight users.</p>"
Selenium,adopt,tools,TRUE,"<p>Selenium is a portable framework for testing web applications. Selenium provides a playback tool for authoring functional tests without the need to learn a test scripting language (Selenium IDE). It also provides a test domain-specific language (Selenese) to write tests in a number of popular programming languages, including C#, Groovy, Java, Perl, PHP, Python, Ruby and Scala. The tests can then run against most modern web browsers.</p>"
Elasticsearch,adopt,tools,TRUE,"<p>Elasticsearch is a search engine based on the <strong><a href=""https://lucene.apache.org/"">Lucene</a></strong> library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. </p>"
ELK Stack,adopt,tools,TRUE,"<p>""ELK"" is the acronym for three open source projects: Elasticsearch, Logstash, and Kibana. <strong><a href=""https://www.elastic.co/"">Elasticsearch</a></strong> is a search and analytics engine. <strong><a href=""https://www.elastic.co/products/logstash"">Logstash</a></strong> is a server‑side data processing pipeline that ingests data from multiple sources simultaneously, transforms it, and then sends it to a ""stash"" like Elasticsearch. <strong><a href=""https://www.elastic.co/products/kibana"">Kibana</a></strong> lets users visualize data with charts and graphs in Elasticsearch.<p>"
Octopus,adopt,tools,TRUE,"<p>Windows infrastructure automation should be adopted, however it still remains more difficult than automation on a Unix platform. Tools like Chef and Puppet are increasing their support, but there are also Windows specific solutions being developed like Octopus. Octopus allows automated deployment of your ASP.NET applications and Windows services and decreases dependency on PowerShell. It can be used with both NuGet using Octopak and TeamCity to create a full build, package, and deployment pipeline.</p>"
Harbor,adopt,tools,TRUE,"<p><strong><a href=""https://goharbor.io/"">Harbor</a></strong> is an open source trusted cloud native registry project that stores, signs, and scans content. Harbor extends the open source Docker Distribution by adding the functionalities usually required by users such as security, identity and management. Having a registry closer to the build and run environment can improve the image transfer efficiency. Harbor supports replication of images between registries, and also offers advanced security features such as user management, access control and activity auditing.</p>"
Helm,adopt,tools,TRUE,"<p><a href=""http://helm.sh""><strong>Helm</strong></a> is a package manager for <a href=""/radar/platforms/kubernetes"">Kubernetes</a>. It comes with a repository of curated Kubernetes applications that are maintained in the official <a href=""https://github.com/helm/charts"">Charts repository</a>. Helm has two components: a command line utility called Helm and a cluster component called Tiller. Securing a Kubernetes cluster is a wide and nuanced topic, but we highly recommend setting up Tiller in a role-based access control (RBAC) environment. Helm's <a href=""/radar/techniques/templating-in-yaml"">YAML templating</a> can be difficult to understand, and Tiller still has some rough edges. Helm 3 is expected to address these issues.</p>"
Grafana,adopt,tools,TRUE,"<p>When combining modern techniques and architecture styles, such as <a href=""/radar/techniques/microservices"">microservices</a>, <a href=""/radar/techniques/devops"">DevOps</a> and <a href=""/radar/techniques/qa-in-production"">QA in production</a>, development teams need increasingly sophisticated monitoring. Simply looking a graphs of disk usage and CPU utilization is not sufficient anymore, and many teams collect application and business-specific metrics using tools such a Graphite and Kibana. <strong><a href=""http://grafana.org/"">Grafana</a></strong> makes it easy to create useful and elegant dashboards for data from a number of sources. A particularly useful feature allows timescales of different graphs to be synchronized, which helps with spotting correlations in the underlying data. The templating system that is being added shows a lot promise and will likely make managing sets of similar services even easier. Based on its strengths, Grafana has become our default choice in this category.</p>"
Nuxeo,adopt,tools,TRUE,"<p>The <a href=""http://www.nuxeo.com/products/content-management-platform/"" rel=""nofollow"">Nuxeo Platform</a> is an open source customizable and extensible content management platform for building business applications. It provides the foundation for developing <a href=""http://www.nuxeo.com/solutions/document-management/"" rel=""nofollow"">document management</a>, <a href=""http://www.nuxeo.com/solutions/digital-asset-management/"" rel=""nofollow"">digital asset management</a>, <a href=""http://www.nuxeo.com/solutions/case-management/"" rel=""nofollow"">case management application</a> and <a href=""http://www.nuxeo.com/solutions/advanced-knowledge-base/"" rel=""nofollow"">knowledge management</a>. You can easily add features using ready-to-use addons or by extending the platform using its extension point system.</p>"
Confluence,adopt,tools,TRUE,"<p>A confluence is a collaboration tool. It is used to help teams to collaborate and share knowledge efficiently. Using Confluence, users can create blogs and pages which can be commented on and edited by all the members of a team.
For example, we will be able to create a roadmap easily. We can also create notes containing a checklist, create a knowledge base and manage everything centrally. We can also attach files, like our excel planning and display it on a page for our convenience.</p>"
Katalon Studio,adopt,tools,TRUE,"<p><a href=""https://www.katalon.com/"">Katalon Studio</a> is a free-license tool released in January 2015 with a Selenium-based engine. Mostly, Katalon is designed to create and reuse automated test scripts for UI without coding. Katalon Studio allows running&nbsp;<a href=""https://www.altexsoft.com/blog/engineering/striking-a-balance-between-manual-and-automated-testing-when-two-is-better-than-one/"">automated tests</a> of UI elements, including pop-ups, iFrames, and wait-time. The tool can be launched on Microsoft Windows, macOS, and Linux.Katalon’s main advantage is that it’s easy to deploy and has a wider set of integrations compared to Selenium, the market leader. Katalon has dual scripting interfaces for users with different programming skills. This means that testers with limited technical knowledge can use a simpler user interface that doesn’t require writing code.</p>"
AppDynamics,adopt,tools,TRUE,<p>Focuses on managing the performance and availability of applications across cloud computing environments as well as inside the data center.</p>
DevOps Reports,adopt,tools,TRUE,<p>An intranet tool is used for tracking quality reports.</p>
Spinnaker,trial,tools,TRUE,"<p><a href=""http://techblog.netflix.com/2015/11/global-continuous-delivery-with.html"">Netflix</a> has open sourced <a href=""http://www.spinnaker.io/""><strong>Spinnaker</strong></a>, its microservices continuous delivery (CD) platform. Compared to other CI/CD platforms, Spinnaker implements cluster management and deployment of baked images to the cloud as first-class features. It supports out-of-the-box deployment and cluster management for multiple cloud providers such as Google Cloud Platform, AWS and <a href=""/radar/platforms/pivotal-cloud-foundry"">Pivotal Cloud Foundry</a>. You can integrate Spinnaker with Jenkins to run a Jenkins job build. We like Spinnaker's opinionated approach for deploying microservices to the cloud—with the exception that Spinnaker's pipelines are created via a user interface (UI) and cannot be configured as code.</p>"
Ansible,trial,tools,TRUE,"<p>Ansible is a <strong><a href=""https://www.plutora.com/blog/configuration-management"">configuration management</a></strong>, application deployment, and IT orchestration system. One of Ansible’s strong points is having a very simple, human readable language – it allows users very fine, precise control over what happens on what machines at what times.</p>"
Kong,trial,tools,TRUE,"<p><a href=""http://getkong.org/"">Kong</a> is an <a href=""http://github.com/Kong/kong"">open source API gateway</a> which also comes as an <a href=""http://konghq.com/kong-enterprise-edition/"">enterprise product</a> integrating with proprietary API analytics and a developer portal. Kong can be deployed, in a variety of configurations, as an edge API gateway, as an internal API proxy, or even as a sidecar in a <a href=""/radar/techniques/service-mesh"">service mesh</a> configuration. <a href=""http://openresty.org/en/"">OpenResty</a>, through its Nginx modules, provides a strong and performant foundation, with Lua plugins for extensions. Kong can either use PostgreSQL for single-region deployments or Cassandra for multiregion configurations.</p>"
Jenkins,trial,tools,TRUE,"<p>Jenkins is an free and open source automation server written in Java. Jenkins helps to automate the non-human part of the software development process, with continuous integration and facilitating technical aspects of continuous delivery</p>"
Terraform,assess,tools,TRUE,"<p><strong><a href=""https://www.terraform.io/"">Terraform</a></strong>, is rapidly becoming a de facto choice for creating and managing cloud infrastructures by writing declarative definitions. The configuration of the servers instantiated by Terraform is usually left to Puppet, Chef or Ansible. The syntax of its files is quite readable and because it supports a number of cloud providers while making no attempt to provide an artificial abstraction across those providers. The active community will add support for the latest features from most cloud providers. </p>"
